"Database","Source","Site_name","Site","Plot","Habitat_type","Habitat","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.07,0.08,16.646,NA,0.22,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.08,0.09,16.442,NA,0.25,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.09,0.1,19.279,NA,0.22,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.1,0.11,16.558,NA,0.18,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.11,0.12,13.151,NA,0.22,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.12,0.13,13.401,NA,0.28,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.13,0.14,28.199,NA,0.25,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.14,0.15,9.486,NA,0.39,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.15,0.16,7.818,NA,0.37,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.16,0.17,7.625,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.17,0.18,7.306,NA,0.47,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.18,0.19,6.389,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.19,0.2,8.577,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.2,0.21,7.353,NA,0.41,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.21,0.22,3.54,NA,0.49,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.22,0.23,6.701,NA,0.42,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.23,0.24,3.863,NA,0.55,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.24,0.25,5.991,NA,0.38,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.25,0.26,5.091,NA,0.48,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.26,0.27,6.946,NA,0.45,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.27,0.28,7.605,NA,0.25,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P55","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94829416,-4.08216892,0.28,0.29,7.164,NA,0.1,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0,0.02,31.45,NA,0.14,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.02,0.03,25.931,NA,0.15,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.03,0.04,23.057,NA,0.2,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.04,0.05,23.682,NA,0.26,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.05,0.06,19.256,NA,0.26,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.06,0.07,12.755,NA,0.17,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.07,0.08,16.244,NA,0.23,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.08,0.09,13.081,NA,0.26,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.09,0.1,14.769,NA,0.34,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.1,0.11,7.919,NA,0.42,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.11,0.12,8.889,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.12,0.13,6.8,NA,0.4,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.13,0.14,4.867,NA,0.52,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.14,0.15,2.951,NA,0.73,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.15,0.16,1.922,NA,0.95,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.16,0.17,4.279,NA,1.23,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.17,0.18,1.814,NA,1.05,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.18,0.19,1.39,NA,0.92,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.19,0.2,1.086,NA,1.03,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.2,0.21,0.706,NA,0.99,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.21,0.22,0.607,NA,0.71,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.22,0.23,0.592,NA,0.69,"https://doi.org/10.7489/12422-1"
"Maxwell","Miller et al 2022","LCM Fleet P59","Cambusmore Lodge (Loch Fleet)",NA,"Salt marsh",NA,2020,57.94673653,-4.08130251,0.23,0.24,0.579,NA,0.84,"https://doi.org/10.7489/12422-1"
