"Database","Source","study_id","study_site_core","site_id","Site","Plot","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_2","Arco",NA,NA,"2","Salt marsh",2018,"30.457969","-116.025869",0.5,1,7.48,0.85,1.32,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0,0.15,6.55,0.63,0.35,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,3.67,0.42,0.57,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,2.37,0.32,1.02,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_3","Arco",NA,NA,"3","Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.12,0.12,1.53,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0,0.15,3.24,0.34,0.5,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,2.6,0.3,0.7,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.25,0.17,1.29,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_4","Arco",NA,NA,"4","Salt marsh",2018,"30.457969","-116.025869",0.5,1,0.82,0.1,1.94,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0,0.15,4.01,0.37,0.79,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.15,0.3,1.68,0.2,0.87,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.3,0.5,1.12,0.14,1.12,NA
"Maxwell",NA,"Adame_unpublished","Adame_unpublished_Arco_5","Arco",NA,NA,"5","Salt marsh",2018,"30.457969","-116.025869",0.5,1,1.34,0.16,2.32,NA
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,29.25,0.94,0.28,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,28.21,1.09,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,26.55,0.83,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_1","Paistalon",NA,NA,"1","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.44,28.1,1.25,0.13,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,27.2,0.9,0.19,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,20.03,0.81,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,14.08,0.56,0.27,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_2","Paistalon",NA,NA,"2","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,27.47,1.19,0.14,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,31.02,1.03,0.17,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,25.4,1.02,0.19,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,6.88,0.4,0.35,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_3","Paistalon",NA,NA,"3","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,18.56,0.66,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,22.53,1.08,0.25,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,14.87,0.71,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,18,0.73,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_4","Paistalon",NA,NA,"4","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,16.5,0.63,0.24,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,23.95,0.93,0.22,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,21.51,0.9,0.17,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,21.21,0.82,0.2,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_5","Paistalon",NA,NA,"5","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,15.96,0.65,0.3,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0,0.15,18.57,0.88,0.39,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,26.38,1.19,0.16,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,2.4,0.15,0.78,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Paistalon_6","Paistalon",NA,NA,"6","Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,12.47,0.62,0.33,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0,0.15,22.09,1,0.22,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,22.75,0.92,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,23.32,0.82,0.23,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_1","Esterillo",NA,NA,"1","Mangroves",2012,"15.1656","-86.8288",0.5,1.44,10.22,0.43,0.33,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0,0.15,22.08,0.95,0.34,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,24.93,1.02,0.15,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,8.57,0.43,0.38,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_2","Esterillo",NA,NA,"2","Mangroves",2012,"15.1656","-86.8288",0.5,1.5,18.84,0.71,0.25,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0,0.15,21.06,1.07,0.37,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,17.88,1.02,0.18,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,24.14,0.91,0.14,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_3","Esterillo",NA,NA,"3","Mangroves",2012,"15.1656","-86.8288",0.5,1.5,21.24,0.75,0.2,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0,0.15,23.04,0.99,0.25,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0.15,0.3,19.85,1.07,0.3,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0.3,0.5,21.18,0.78,0.27,"https://bg.copernicus.org/articles/12/3805/2015/"
"Maxwell",NA,"Adame et al. 2015","Adame et al. 2015_Esterillo_4","Esterillo",NA,NA,"4","Mangroves",2012,"15.1656","-86.8288",0.5,1.5,21.22,0.68,0.32,"https://bg.copernicus.org/articles/12/3805/2015/"
