study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40006,"Transect 1, Position 6",Mangrove,A marina,2016,34.66233333,138.4476111,0,0.1,3.894424549,0.483991033,NA,0.480647928,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40007,"Transect 1, Position 7",Mangrove,A marina,2016,34.66233333,138.4476111,0,0.1,1.912243485,0.25829797,NA,0.611353925,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT40008,"Transect 1, Position 8",Mangrove,A marina,2016,34.66233333,138.4476111,0,0.1,2.278993419,0.313378109,NA,0.560424343,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50001,"Transect 2, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.4476944,0,0.1,2.89657116,0.36736414,NA,0.434492995,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50002,"Transect 2, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.4476944,0,0.1,2.858621194,0.389842775,NA,0.579323993,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50003,"Transect 2, Position 3",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.4476944,0,0.1,3.183565236,0.398300102,NA,0.530383848,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50004,"Transect 2, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.4476944,0,0.1,0.264078356,0.04608829,NA,1.095383896,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50005,"Transect 2, Position 5",Mangrove,A marina,2016,34.66252778,138.4476944,0,0.1,4.594175664,0.433409614,NA,0.440262361,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50006,"Transect 2, Position 6",Mangrove,A marina,2016,34.66252778,138.4476944,0,0.1,1.76619859,0.244136238,NA,0.668649705,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50007,"Transect 2, Position 7",Mangrove,A marina,2016,34.66252778,138.4476944,0,0.1,3.088946809,0.419119064,NA,0.42613736,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT50008,"Transect 2, Position 8",Mangrove,A marina,2016,34.66252778,138.4476944,0,0.1,3.388277473,0.436325217,NA,0.389929611,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60001,"Transect 3, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.44775,0,0.1,3.054860961,0.385422266,NA,0.58947012,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60002,"Transect 3, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.44775,0,0.1,2.379347985,0.308209241,NA,0.520038777,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60003,"Transect 3, Position 3",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.44775,0,0.1,2.899235909,0.364445319,NA,0.527399693,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60004,"Transect 3, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.66252778,138.44775,0,0.1,2.279746381,0.277635907,NA,0.479056379,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60005,"Transect 3, Position 5",Mangrove,A marina,2016,34.66252778,138.44775,0,0.1,2.805295212,0.349443139,NA,0.497558141,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60006,"Transect 3, Position 6",Mangrove,A marina,2016,34.66252778,138.44775,0,0.1,2.41064033,0.306919311,NA,0.601804629,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60007,"Transect 3, Position 7",Mangrove,A marina,2016,34.66252778,138.44775,0,0.1,3.350797871,0.409602637,NA,0.505913775,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 2_Port Gawler ,PGT60008,"Transect 3, Position 8",Mangrove,A marina,2016,34.66252778,138.44775,0,0.1,8.949710517,0.624126894,NA,0.293839814,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70001,"Transect 1, Position 1",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.15036111,138.0645556,0,0.1,0.733523885,0.107288866,NA,1.340482508,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70002,"Transect 1, Position 2",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.15036111,138.0645556,0,0.1,0.895068617,0.139588098,NA,1.109309953,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70003,"Transect 1, Position 3",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.15036111,138.0645556,0,0.1,1.458465037,0.193515766,NA,0.97283459,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70004,"Transect 1, Position 4",Tidal marsh,Sarcocornia quinqueflora/Tecticornia arbuscular,2016,34.15036111,138.0645556,0,0.1,2.010123968,0.270194286,NA,0.996707831,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70005,"Transect 1, Position 5",Mangrove,A marina,2016,34.15036111,138.0645556,0,0.1,3.609103081,0.46477208,NA,0.479255322,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70006,"Transect 1, Position 6",Mangrove,A marina,2016,34.15036111,138.0645556,0,0.1,3.854116533,0.456220511,NA,0.437875037,GPS was taken from the centre core of each transect
Asanopoulos_et_al_2021,https://doi.org/10.1071/SR20040,Site 3_Clinton ,CLT70007,"Transect 1, Position 7",Mangrove,A marina,2016,34.15036111,138.0645556,0,0.1,3.548244012,0.447668941,NA,0.490396168,GPS was taken from the centre core of each transect
