study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_cm,L_depth_cm,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,4,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,18,0.73,,0.21,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,4,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,150,16.5,0.63,,0.24,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,5,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,23.95,0.93,,0.22,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,5,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,21.51,0.9,,0.17,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,5,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,21.21,0.82,,0.2,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,5,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,150,15.96,0.65,,0.3,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,6,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,0,15,18.57,0.88,,0.39,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,6,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,15,30,26.38,1.19,,0.16,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,6,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,30,50,2.4,0.15,,0.78,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Paistalon,6,Chiapas,Mangroves,mangroves,2012,15.17869587,-86.80539547,50,150,12.47,0.62,,0.33,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,1,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,22.09,1,,0.22,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,1,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,22.75,0.92,,0.18,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,1,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,23.32,0.82,,0.23,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,1,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,144,10.22,0.43,,0.33,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,2,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,22.08,0.95,,0.34,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,2,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,24.93,1.02,,0.15,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,2,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,8.57,0.43,,0.38,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,2,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,150,18.84,0.71,,0.25,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,3,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,21.06,1.07,,0.37,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,3,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,17.88,1.02,,0.18,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,3,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,24.14,0.91,,0.14,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,3,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,150,21.24,0.75,,0.2,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,4,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,23.04,0.99,,0.25,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,4,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,19.85,1.07,,0.3,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,4,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,21.18,0.78,,0.27,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,4,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,150,21.22,0.68,,0.32,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,5,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,24.11,1.4,,0.28,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,5,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,30.09,1.23,,0.21,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,5,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,25.04,1.12,,0.35,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,5,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,150,13.8,0.54,,0.33,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,6,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,0,15,23.29,1.23,,0.27,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,6,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,15,30,21.89,1.15,,0.16,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,6,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,30,50,10.15,0.49,,0.26,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,Esterillo,6,Chiapas,Mangroves,mangroves,2012,15.1656,-86.8288,50,150,22.27,0.81,,0.22,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,1,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,0,15,25.42,1.21,,0.17,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,1,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,15,30,11.46,0.78,,0.24,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,1,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,30,50,9.14,0.44,,0.42,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,1,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,50,122,14.69,0.69,,0.39,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,2,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,0,15,23.9,1.11,,0.21,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,2,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,15,30,28.24,1.43,,0.16,
Adame et al. 2015,https://bg.copernicus.org/articles/12/3805/2015/,St Chila,2,Chiapas,Mangroves,mangroves,2012,15.1800871,-86.8383125,30,50,2.19,0.11,,0.76,
