study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.37,0.38,0.43,0.05,NA,1.69,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.38,0.39,0.42,0.05,NA,1.47,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.39,0.4,0.43,0.05,NA,1.22,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.4,0.41,0.42,0.05,NA,1.57,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.41,0.42,0.41,0.05,NA,1.4,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.42,0.43,0.41,0.05,NA,1.44,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.43,0.44,0.4,0.05,NA,1.1,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.44,0.45,0.47,0.05,NA,1.39,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.45,0.46,0.33,0.04,NA,1.65,
Carnero-Bravo et al. 2018,http://dx.doi.org/10.1016/j.catena.2017.09.016,CELE,CELE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,20.835528,-90.047222,0.46,0.47,0.32,0.03,NA,1.27,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 00-01,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0,0.01,7.18,0.91,NA,0.7,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 01-02,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.01,0.02,1.12,0.14,NA,0.78,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 02-03,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.02,0.03,0.95,0.11,NA,0.95,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 03-04,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.03,0.04,0.77,0.1,NA,1,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 04-05,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.04,0.05,0.89,0.09,NA,0.98,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 05-06,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.05,0.06,0.77,0.09,NA,1.14,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 06-07,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.06,0.07,0.71,0.09,NA,0.92,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 07-08,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.07,0.08,0.72,0.08,NA,1.14,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 08-09,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.08,0.09,0.94,0.1,NA,1.22,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 09-10,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.09,0.1,0.78,0.09,NA,1.08,
Carnero-Bravo et al. 2016,http://dx.doi.org/10.1016/j.scitotenv.2016.08.142,LANE,LANE 10-11,sea level project,tropical salt marsh,marsh only flooded with the highest tide,2013,19.790542,-87.480394,0.1,0.11,0.9,0.09,NA,1.08,
