LON,LAT,REGION,ENVSETT,SITE,CORE,DEPTH,subsmple_up_depth_cm,subsmple_lw_depth_cm,core_up_depth_cm,core_lw_depth_cm,core_depth_interval_cm,N_pcent,C_pcent,BD_gcc,,,,,
-48.0314,-0.667411,S0,DT1,PA1,3,4,72.5,77.5,50,100,50,0.056,1.561,1.070,,,,,
-47.561023,-0.637209,S0,DT1,PA2,1,1,5,10,0,15,15,0.196,3.459,0.604,,,,,
-47.561023,-0.637209,S0,DT1,PA2,1,2,20,25,15,30,15,0.147,3.077,0.794,,,,,
-47.561023,-0.637209,S0,DT1,PA2,1,3,37.5,42.5,30,50,20,0.156,2.518,0.519,,,,,
-47.561023,-0.637209,S0,DT1,PA2,1,4,72.5,77.5,50,100,50,0.065,1.033,0.959,,,,,
-47.561023,-0.637209,S0,DT1,PA2,2,1,5,10,0,15,15,0.257,3.887,0.565,,,,,
-47.561023,-0.637209,S0,DT1,PA2,2,2,20,25,15,30,15,0.218,3.749,0.657,,,,,
-47.561023,-0.637209,S0,DT1,PA2,2,3,37.5,42.5,30,50,20,0.192,3.268,0.659,,,,,
-47.561023,-0.637209,S0,DT1,PA2,2,4,72.5,77.5,50,100,50,0.108,1.204,1.026,,,,,
-47.561023,-0.637209,S0,DT1,PA2,3,1,5,10,0,15,15,0.233,3.289,0.622,,,,,
-47.561023,-0.637209,S0,DT1,PA2,3,2,20,25,15,30,15,0.232,3.570,0.586,,,,,
-47.561023,-0.637209,S0,DT1,PA2,3,3,37.5,42.5,30,50,20,0.101,1.438,0.958,,,,,
-47.561023,-0.637209,S0,DT1,PA2,3,4,72.5,77.5,50,100,50,0.209,3.441,0.693,,,,,
-47.11727,-0.700967,S0,DT1,PA3,1,1,5,10,0,15,15,0.217,2.586,0.608,,,,,
-47.11727,-0.700967,S0,DT1,PA3,1,2,20,25,15,30,15,0.230,2.673,0.594,,,,,
-47.11727,-0.700967,S0,DT1,PA3,1,3,37.5,42.5,30,50,20,0.174,2.679,0.554,,,,,
-47.11727,-0.700967,S0,DT1,PA3,1,4,72.5,77.5,50,100,50,0.164,2.705,0.592,,,,,
-47.11727,-0.700967,S0,DT1,PA3,2,1,5,10,0,15,15,0.173,2.436,0.640,,,,,
-47.11727,-0.700967,S0,DT1,PA3,2,2,20,25,15,30,15,0.183,3.485,0.607,,,,,
-47.11727,-0.700967,S0,DT1,PA3,2,3,37.5,42.5,30,50,20,0.168,2.586,0.664,,,,,
-47.11727,-0.700967,S0,DT1,PA3,2,4,72.5,77.5,50,100,50,0.156,2.929,0.645,,,,,
-47.11727,-0.700967,S0,DT1,PA3,3,1,5,10,0,15,15,0.219,2.853,0.592,,,,,
-47.11727,-0.700967,S0,DT1,PA3,3,2,20,25,15,30,15,0.195,2.669,0.470,,,,,
-47.11727,-0.700967,S0,DT1,PA3,3,3,37.5,42.5,30,50,20,0.170,2.916,0.607,,,,,
-47.11727,-0.700967,S0,DT1,PA3,3,4,72.5,77.5,50,100,50,0.172,2.992,0.578,,,,,
-82.59787,9.590426,N10,CP,LG1,1,1,5,10,0,15,15,1.161,23.898,0.174,,,,,
-82.59787,9.590426,N10,CP,LG1,1,2,20,25,15,30,15,1.011,21.585,0.220,,,,,
-82.59787,9.590426,N10,CP,LG1,1,3,37.5,42.5,30,50,20,1.033,23.512,0.177,,,,,
-82.59787,9.590426,N10,CP,LG1,1,4,72.5,77.5,50,100,50,1.153,17.499,0.164,,,,,
-82.59787,9.590426,N10,CP,LG1,2,1,5,10,0,15,15,1.461,31.638,0.159,,,,,
-82.59787,9.590426,N10,CP,LG1,2,2,20,25,15,30,15,1.083,22.571,0.232,,,,,
-82.59787,9.590426,N10,CP,LG1,2,3,37.5,42.5,30,50,20,1.035,21.206,0.227,,,,,
-82.59787,9.590426,N10,CP,LG1,2,4,72.5,77.5,50,100,50,0.834,16.667,0.208,,,,,
-82.59787,9.590426,N10,CP,LG1,3,1,5,10,0,15,15,1.351,28.300,0.158,,,,,
-82.59787,9.590426,N10,CP,LG1,3,2,20,25,15,30,15,1.134,26.489,0.180,,,,,
-82.59787,9.590426,N10,CP,LG1,3,3,37.5,42.5,30,50,20,1.156,24.427,0.203,,,,,
-82.59787,9.590426,N10,CP,LG1,3,4,72.5,77.5,50,100,50,1.047,22.736,0.175,,,,,
-82.59752,9.588138,N10,CP,LG2,1,1,5,10,0,15,15,2.060,28.556,0.173,,,,,
-82.59752,9.588138,N10,CP,LG2,1,2,20,25,15,30,15,1.171,25.904,0.183,,,,,
-82.59752,9.588138,N10,CP,LG2,1,3,37.5,42.5,30,50,20,2.394,24.715,0.175,,,,,
-82.59752,9.588138,N10,CP,LG2,1,4,72.5,77.5,50,100,50,1.089,17.545,0.179,,,,,
-82.59752,9.588138,N10,CP,LG2,2,1,5,10,0,15,15,1.427,25.561,0.174,,,,,
-82.59752,9.588138,N10,CP,LG2,2,2,20,25,15,30,15,1.294,21.108,0.196,,,,,
-82.59752,9.588138,N10,CP,LG2,2,3,37.5,42.5,30,50,20,1.242,24.216,0.190,,,,,
-82.59752,9.588138,N10,CP,LG2,2,4,72.5,77.5,50,100,50,0.763,8.886,0.313,,,,,
-82.59752,9.588138,N10,CP,LG2,3,1,5,10,0,15,15,1.206,22.583,0.225,,,,,
-82.59752,9.588138,N10,CP,LG2,3,2,20,25,15,30,15,0.912,17.612,0.206,,,,,
-82.59752,9.588138,N10,CP,LG2,3,3,37.5,42.5,30,50,20,0.844,14.358,0.191,,,,,
-82.59752,9.588138,N10,CP,LG2,3,4,72.5,77.5,50,100,50,0.667,9.759,0.260,,,,,
-82.59588,9.588788,N10,CP,LG3,1,1,5,10,0,15,15,1.567,38.408,0.101,,,,,
-82.59588,9.588788,N10,CP,LG3,1,2,20,25,15,30,15,1.286,33.283,0.152,,,,,
-82.59588,9.588788,N10,CP,LG3,1,3,37.5,42.5,30,50,20,2.435,33.635,0.153,,,,,
-82.59588,9.588788,N10,CP,LG3,1,4,72.5,77.5,50,100,50,1.218,27.187,0.146,,,,,
-82.59588,9.588788,N10,CP,LG3,2,1,5,10,0,15,15,0.881,20.825,0.201,,,,,
-82.59588,9.588788,N10,CP,LG3,2,2,20,25,15,30,15,1.574,35.961,0.156,,,,,
-82.59588,9.588788,N10,CP,LG3,2,3,37.5,42.5,30,50,20,1.377,32.734,0.148,,,,,
-82.59588,9.588788,N10,CP,LG3,2,4,72.5,77.5,50,100,50,1.263,31.914,0.120,,,,,
-82.59588,9.588788,N10,CP,LG3,3,1,5,10,0,15,15,1.561,36.621,0.119,,,,,
-82.59588,9.588788,N10,CP,LG3,3,2,20,25,15,30,15,1.243,33.034,0.150,,,,,
-82.59588,9.588788,N10,CP,LG3,3,3,37.5,42.5,30,50,20,1.245,33.027,0.136,,,,,
-82.59588,9.588788,N10,CP,LG3,3,4,72.5,77.5,50,100,50,0.571,10.874,0.259,,,,,
-84.914033,9.824509,N11,BR,GN1,1,1,5,10,0,15,15,#REF!,#REF!,1.250,,,,,
-84.914033,9.824509,N11,BR,GN1,1,2,20,25,15,30,15,#REF!,#REF!,0.696,,,,,
-84.914033,9.824509,N11,BR,GN1,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.862,,,,,
-84.914033,9.824509,N11,BR,GN1,1,4,72.5,77.5,50,100,50,#REF!,#REF!,0.792,,,,,
-84.914033,9.824509,N11,BR,GN1,2,1,5,10,0,15,15,#REF!,#REF!,1.266,,,,,
-84.914033,9.824509,N11,BR,GN1,2,2,20,25,15,30,15,#REF!,#REF!,1.154,,,,,
-84.914033,9.824509,N11,BR,GN1,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.978,,,,,
-84.914033,9.824509,N11,BR,GN1,2,4,72.5,77.5,50,100,50,#REF!,#REF!,0.716,,,,,
-84.914033,9.824509,N11,BR,GN1,3,1,5,10,0,15,15,#REF!,#REF!,0.986,,,,,
-84.914033,9.824509,N11,BR,GN1,3,2,20,25,15,30,15,#REF!,#REF!,0.544,,,,,
-84.914033,9.824509,N11,BR,GN1,3,3,37.5,42.5,30,50,20,#REF!,#REF!,0.606,,,,,
-84.914033,9.824509,N11,BR,GN1,3,4,72.5,77.5,50,100,50,#REF!,#REF!,0.718,,,,,
-84.917696,9.826671,N11,BR,GN2,1,1,5,10,0,15,15,#REF!,#REF!,0.926,,,,,
-84.917696,9.826671,N11,BR,GN2,1,2,20,25,15,30,15,#REF!,#REF!,0.613,,,,,
-84.917696,9.826671,N11,BR,GN2,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.928,,,,,
-84.917696,9.826671,N11,BR,GN2,1,4,72.5,77.5,50,100,50,#REF!,#REF!,1.047,,,,,
-84.917696,9.826671,N11,BR,GN2,2,1,5,10,0,15,15,#REF!,#REF!,0.828,,,,,
-84.917696,9.826671,N11,BR,GN2,2,2,20,25,15,30,15,#REF!,#REF!,0.777,,,,,
-84.917696,9.826671,N11,BR,GN2,2,3,37.5,42.5,30,50,20,#REF!,#REF!,0.864,,,,,
-84.917696,9.826671,N11,BR,GN2,2,4,72.5,77.5,50,100,50,#REF!,#REF!,1.051,,,,,
-84.917696,9.826671,N11,BR,GN2,3,1,5,10,0,15,15,#REF!,#REF!,0.515,,,,,
-84.917696,9.826671,N11,BR,GN2,3,2,20,25,15,30,15,#REF!,#REF!,0.445,,,,,
-84.917696,9.826671,N11,BR,GN2,3,3,37.5,42.5,30,50,20,#REF!,#REF!,1.116,,,,,
-84.917696,9.826671,N11,BR,GN2,3,4,72.5,77.5,50,100,50,#REF!,#REF!,1.106,,,,,
-84.920191,9.827158,N11,BR,GN3,1,1,5,10,0,15,15,#REF!,#REF!,0.681,,,,,
-84.920191,9.827158,N11,BR,GN3,1,2,20,25,15,30,15,#REF!,#REF!,0.628,,,,,
-84.920191,9.827158,N11,BR,GN3,1,3,37.5,42.5,30,50,20,#REF!,#REF!,0.723,,,,,
-84.920191,9.827158,N11,BR,GN3,1,4,72.5,77.5,50,100,50,#REF!,#REF!,0.616,,,,,
-84.920191,9.827158,N11,BR,GN3,2,1,5,10,0,15,15,#REF!,#REF!,0.749,,,,,
-84.920191,9.827158,N11,BR,GN3,2,2,20,25,15,30,15,#REF!,#REF!,0.843,,,,,
