sample_id,IDnumber,Core,Site,Veg,Treatment,Depth,15N,N_perc,,upperdepthcm,lowerdepthcm,sample_id,BD,carbonfrac
SG6MC_5,427,SG6MC_O.14cm,SG,M,C,5,1.482198,0.361028611,,4,5,SG6MC_5,0.797749592,0.047
SG6MC_15,429,SG6MC,SG,M,C,15,1.1080215,0.243563376,,14,15,SG6MC_15,0.751947762,0.037
SG6MC_30,432,SG6MC,SG,M,C,30,-3.5914695,0.067643225,,29,30,SG6MC_30,0.492483447,0.009
NA,435,,,,,,2.563915,0.364107409,,NA,NA,NA,NA,0.048
,438,,,,,,-3.1767275,0.035967006,,,,,,
,439,,,,,,0.973345,0.410850281,,,,,,
,441,,,,,,1.93303,0.447395726,,,,,,
,444,,,,,,-1.39196,0.085390762,,,,,,
,447,,,,,,1.5805975,0.098269626,,,,,,
,451,,,,,,1.25899,0.309502354,,,,,,
,453,,,,,,2.0573575,0.283186398,,,,,,
,456,,,,,,-2.4451475,0.067879582,,,,,,
,459,,,,,,-0.1928675,0.102593754,,,,,,
,460,,,,,,3.0951325,0.756870428,,,,,,
,462,,,,,,2.50432,0.736742668,,,,,,
,465,,,,,,-2.2499225,0.085326705,,,,,,
,466,,,,,,1.8385,0.382004642,,,,,,
,468,,,,,,1.02883,0.277416173,,,,,,
,469,,,,,,1.2086425,0.340980462,,,,,,
,471,,,,,,3.747595,0.578205739,,,,,,
,474,,,,,,-5.0200625,0.052889497,,,,,,
,475,,,,,,1.66588,0.366953525,,,,,,
,496,,,,,,1.577556,0.412911511,,,,,,
,505,,,,,,1.8605205,0.433220688,,,,,,
,507,,,,,,3.2556495,0.520030363,,,,,,
,510,,,,,,0.319245,0.081057055,,,,,,
,511,,,,,,1.567191,0.465142759,,,,,,
,513,,,,,,2.4533985,0.519263649,,,,,,
,516,,,,,,-0.3575895,0.136657046,,,,,,
,534,,,,,,1.6940712,0.147231311,,,,,,
,537,,,,,,1.6019384,0.297919382,,,,,,
,538,,,,,,0.9764275,0.45204578,,,,,,
,540,,,,,,2.6533075,0.50118976,,,,,,
,541,,,,,,-0.3593225,0.099476397,,,,,,
,542,,,,,,-0.45077,0.085583498,,,,,,
,543,,,,,,-1.003565,0.128277282,,,,,,
,544,,,,,,0.4318525,0.085459638,,,,,,
,545,,,,,,-1.866665,0.075984394,,,,,,
,546,,,,,,-2.2951325,0.068299599,,,,,,
,547,,,,,,-3.0924725,0.079088324,,,,,,
,548,,,,,,-0.89054,0.082590585,,,,,,
,549,,,,,,-2.5581725,0.045668225,,,,,,
,BT 1 Bulk,,,,,,3.8246575,0.962828692,,,,,,
,BT2 Bulk,,,,,,3.40441,1.010280231,,,,,,
,BT3 Bulk,,,,,,3.9089125,0.997638975,,,,,,
,GTM B2,,,,,,3.011905,1.377255734,,,,,,
,GTM B3,,,,,,2.50843,1.109692469,,,,,,
,GTM B6,,,,,,3.4527025,1.581201388,,,,,,
,GTM S1,,,,,,1.113085,1.176440093,,,,,,
,GTM S5,,,,,,1.0606825,1.179373655,,,,,,
,GTM S8,,,,,,2.4210925,0.957654462,,,,,,
,SP1 Bulk,,,,,,3.6335425,0.758156947,,,,,,
,SP2 Bulk,,,,,,3.0766375,0.758554169,,,,,,
,SP3 Bulk,,,,,,3.6684775,0.778857201,,,,,,
