study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.15,0.16,1.44,0.09,2.87,1.18,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.16,0.17,1.5,0.09,2.34,1.16,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.17,0.18,1.57,0.09,2.71,0.73,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.18,0.19,1.37,0.08,1.6,0.97,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.19,0.2,1.18,0.07,1.78,1.53,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.2,0.21,0.98,0.06,1.86,1.33,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.21,0.22,0.78,0.05,1.68,1.43,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.22,0.23,0.82,0.05,1.71,0.89,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.23,0.24,0.92,0.05,1.19,1.03,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.24,0.25,0.76,0.04,1.77,1.66,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.25,0.26,0.7,0.04,1.38,1.37,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.26,0.27,0.82,0.05,1.9,1.04,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.27,0.28,0.57,0.03,1.53,0.88,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.28,0.29,0.68,0.04,1.55,1.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.29,0.3,0.86,0.04,1.49,1.03,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.3,0.31,0.76,0.04,1.56,1.28,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUII,,marsh only flooded with the highest tide,marsh,,23.17579,-106.33599,0.31,0.32,0.88,0.05,2.04,1.22,
