Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,S33-2-25,S33,29.946667,93.400833,2,2016,0.25,0.3,25,30,47,0.74,2.66,0.159,EA,86.7,26.6,1.59,16.8,0.44,Marsh,,,,,,
McClellan_et_al_2021,S33-3-00,S33,29.946667,93.400833,3,2016,0,0.05,0,5,28,1.278,0.86,0.046,EA,39,8.6,0.46,5.5,0.16,Marsh,,,,,,
McClellan_et_al_2021,S33-3-05,S33,29.946667,93.400833,3,2016,0.05,0.1,5,10,31,1.175,1.65,0.072,EA,48.8,16.5,0.72,15.8,0.36,Marsh,,,,,,
McClellan_et_al_2021,S33-3-10,S33,29.946667,93.400833,3,2016,0.1,0.15,10,15,37,0.982,2.32,0.101,EA,68.1,23.2,1.01,18.2,0.44,Marsh,,,,,,
McClellan_et_al_2021,S33-3-15,S33,29.946667,93.400833,3,2016,0.15,0.2,15,20,40,0.928,2.7,0.128,EA,71.3,27,1.28,15.9,0.38,Marsh,,,,,,
McClellan_et_al_2021,S33-3-20,S33,29.946667,93.400833,3,2016,0.2,0.25,20,25,40,0.874,2.29,0.121,EA,59,22.9,1.21,14.1,0.34,Marsh,,,,,,
McClellan_et_al_2021,S33-3-25,S33,29.946667,93.400833,3,2016,0.25,0.3,25,30,36,0.981,1.82,0.093,EA,54.6,18.2,0.93,14.9,0.38,Marsh,,,,,,
McClellan_et_al_2021,S50-1-00,S50,29.946667,93.400833,1,2016,0,0.05,0,5,81,0.186,16.08,1.122,EA,393.4,160.8,11.22,113.3,3,Marsh,,,,,,
McClellan_et_al_2021,S50-1-05,S50,29.946667,93.400833,1,2016,0.05,0.1,5,10,84,0.156,22.73,1.573,EA,497.2,227.3,15.73,160.2,3.99,Marsh,,,,,,
McClellan_et_al_2021,S50-1-10,S50,29.946667,93.400833,1,2016,0.1,0.15,10,15,67,0.379,9.9,0.672,EA,231.3,99,6.72,75,2.3,Marsh,,,,,,
