"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"79","Carnero-Bravo et al. 2016","LANE","LANE 31-32","tropical salt marsh",2013,19.790542,-87.480394,0.31,0.32,1.45,0.1,1.1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"80","Carnero-Bravo et al. 2016","LANE","LANE 32-33","tropical salt marsh",2013,19.790542,-87.480394,0.32,0.33,1.78,0.11,0.99,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"81","Carnero-Bravo et al. 2016","LANE","LANE 33-34","tropical salt marsh",2013,19.790542,-87.480394,0.33,0.34,1.59,0.11,1.18,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"82","Carnero-Bravo et al. 2016","LANE","LANE 34-35","tropical salt marsh",2013,19.790542,-87.480394,0.34,0.35,1.82,0.1,0.96,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"83","Carnero-Bravo et al. 2016","LANE","LANE 35-36","tropical salt marsh",2013,19.790542,-87.480394,0.35,0.36,1.48,0.1,1.04,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"84","Carnero-Bravo et al. 2016","LANE","LANE 36-37","tropical salt marsh",2013,19.790542,-87.480394,0.36,0.37,1.57,0.11,1.04,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"85","Carnero-Bravo et al. 2016","LANE","LANE 37-38","tropical salt marsh",2013,19.790542,-87.480394,0.37,0.38,1.53,0.11,1.12,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"86","Carnero-Bravo et al. 2016","LANE","LANE 38-39","tropical salt marsh",2013,19.790542,-87.480394,0.38,0.39,1.5,0.11,1.06,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"87","Carnero-Bravo et al. 2016","LANE","LANE 39-40","tropical salt marsh",2013,19.790542,-87.480394,0.39,0.4,1.36,0.1,1.11,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"88","Carnero-Bravo et al. 2016","LANE","LANE 40-41","tropical salt marsh",2013,19.790542,-87.480394,0.4,0.41,1.21,0.1,1.14,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"89","Carnero-Bravo et al. 2016","LANE","LANE 41-42","tropical salt marsh",2013,19.790542,-87.480394,0.41,0.42,1.24,0.1,1.06,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"90","Carnero-Bravo et al. 2016","LANE","LANE 42-43","tropical salt marsh",2013,19.790542,-87.480394,0.42,0.43,1.28,0.1,1.35,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"91","Carnero-Bravo et al. 2016","LANE","LANE 43-44","tropical salt marsh",2013,19.790542,-87.480394,0.43,0.44,1.57,0.11,0.99,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"92","Carnero-Bravo et al. 2016","LANE","LANE 44-45","tropical salt marsh",2013,19.790542,-87.480394,0.44,0.45,1.86,0.12,1.12,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"93","Carnero-Bravo et al. 2016","LANE","LANE 45-46","tropical salt marsh",2013,19.790542,-87.480394,0.45,0.46,2.06,0.12,0.93,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"94","Carnero-Bravo et al. 2016","LANE","LANE 46-47","tropical salt marsh",2013,19.790542,-87.480394,0.46,0.47,2.26,0.13,1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"95","Carnero-Bravo et al. 2016","LANE","LANE 47-48","tropical salt marsh",2013,19.790542,-87.480394,0.47,0.48,2.14,0.12,1,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"96","Carnero-Bravo et al. 2016","LANE","LANE 48-49","tropical salt marsh",2013,19.790542,-87.480394,0.48,0.49,2.02,0.12,0.9,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"97","Carnero-Bravo et al. 2016","LANE","LANE 49-50","tropical salt marsh",2013,19.790542,-87.480394,0.49,0.5,2.09,0.12,0.85,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"98","Carnero-Bravo et al. 2016","LANE","LANE 50-51","tropical salt marsh",2013,19.790542,-87.480394,0.5,0.51,2.23,0.13,1.01,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
"99","Carnero-Bravo et al. 2016","LANE","LANE 51-52","tropical salt marsh",2013,19.790542,-87.480394,0.51,0.52,2.23,0.13,1.28,"http://dx.doi.org/10.1016/j.scitotenv.2016.08.142"
