"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"315","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.64,0.63,1.187954713,0.057217494,1.541756428,"in_submission"
"316","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.36,0.35,0.953801867,0.056186056,1.544749814,"in_submission"
"317","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.17,0.16,1.492972988,0.092614308,1.552643899,"in_submission"
"318","jupin_et_al_unpublished","CP","LTMCA01","Mangrove",2021,18.619833,-91.267861,0.64,0.63,2.946173653,0.171857328,1.602030314,"in_submission"
"319","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.48,0.47,0.694010566,0.031548457,1.620622158,"in_submission"
"320","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.2,0.19,1.678760865,0.094754472,1.6329051,"in_submission"
"321","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.32,0.31,1.628297551,0.087746834,1.652990454,"in_submission"
"322","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.54,0.53,1.079507706,0.062531347,1.661312348,"in_submission"
"323","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.52,0.51,0.888859059,0.04517506,1.691611629,"in_submission"
"324","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.27,0.26,1.986350987,0.093756342,1.699652137,"in_submission"
"325","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.15,0.14,1.198633467,0.095538334,1.704014255,"in_submission"
"326","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.5,0.49,0.762505908,0.052050054,1.718787654,"in_submission"
"327","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.14,0.13,1.393179508,0.10691681,1.755681043,"in_submission"
"328","jupin_et_al_unpublished","EV","EVC01","Mangrove",2021,23.423833,-106.558194,0.56,0.55,0.887865387,0.055656474,1.82549786,"in_submission"
