"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"75","Adame et al. 2015","Paistalon",4,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,18,0.73,0.21,"https://bg.copernicus.org/articles/12/3805/2015/"
"76","Adame et al. 2015","Paistalon",4,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,16.5,0.63,0.24,"https://bg.copernicus.org/articles/12/3805/2015/"
"77","Adame et al. 2015","Paistalon",5,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,23.95,0.93,0.22,"https://bg.copernicus.org/articles/12/3805/2015/"
"78","Adame et al. 2015","Paistalon",5,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,21.51,0.9,0.17,"https://bg.copernicus.org/articles/12/3805/2015/"
"79","Adame et al. 2015","Paistalon",5,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,21.21,0.82,0.2,"https://bg.copernicus.org/articles/12/3805/2015/"
"80","Adame et al. 2015","Paistalon",5,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,15.96,0.65,0.3,"https://bg.copernicus.org/articles/12/3805/2015/"
"81","Adame et al. 2015","Paistalon",6,"Mangroves",2012,"15.17869587","-86.80539547",0,0.15,18.57,0.88,0.39,"https://bg.copernicus.org/articles/12/3805/2015/"
"82","Adame et al. 2015","Paistalon",6,"Mangroves",2012,"15.17869587","-86.80539547",0.15,0.3,26.38,1.19,0.16,"https://bg.copernicus.org/articles/12/3805/2015/"
"83","Adame et al. 2015","Paistalon",6,"Mangroves",2012,"15.17869587","-86.80539547",0.3,0.5,2.4,0.15,0.78,"https://bg.copernicus.org/articles/12/3805/2015/"
"84","Adame et al. 2015","Paistalon",6,"Mangroves",2012,"15.17869587","-86.80539547",0.5,1.5,12.47,0.62,0.33,"https://bg.copernicus.org/articles/12/3805/2015/"
