"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"44","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.9,0.92,14.32923794,1.201342344,0.225552425,"https://doi.org/10.1038/s41558-018-0162-5"
"45","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,0.96,0.98,14.44534492,1.173331618,0.226085722,"https://doi.org/10.1038/s41558-018-0162-5"
"46","Weston","Weston et al 2023","Maine","7","Salt marsh",2014,43.74254,-69.8041,1.02,1.04,10.82087803,0.929949403,0.289093927,"https://doi.org/10.1038/s41558-018-0162-5"
"47","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0,0.01,17.10000992,1.03187573,0.182964752,"https://doi.org/10.1038/s41558-018-0162-5"
"48","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.01,0.02,18.93209457,1.071663857,0.330651532,"https://doi.org/10.1038/s41558-018-0162-5"
"49","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.02,0.03,23.76301384,1.214053988,0.29651321,"https://doi.org/10.1038/s41558-018-0162-5"
"50","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.03,0.04,23.27949715,1.424602389,0.165202791,"https://doi.org/10.1038/s41558-018-0162-5"
"51","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.04,0.05,23.46147537,1.725711942,0.168946829,"https://doi.org/10.1038/s41558-018-0162-5"
"52","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.09,0.1,12.77333832,0.761572957,0.228046624,"https://doi.org/10.1038/s41558-018-0162-5"
"53","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.14,0.15,16.30597878,1.306266904,0.240353855,"https://doi.org/10.1038/s41558-018-0162-5"
"54","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.19,0.2,11.65936375,0.926889539,0.437834517,"https://doi.org/10.1038/s41558-018-0162-5"
"55","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.24,0.25,20.08976746,1.39430213,0.261328992,"https://doi.org/10.1038/s41558-018-0162-5"
"56","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.29,0.3,14.06868553,1.060500026,0.338095776,"https://doi.org/10.1038/s41558-018-0162-5"
"57","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.34,0.35,28.66951561,1.636258245,0.185158819,"https://doi.org/10.1038/s41558-018-0162-5"
"58","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.39,0.4,19.9943428,1.473205209,0.179561634,"https://doi.org/10.1038/s41558-018-0162-5"
"59","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.44,0.45,16.90576935,1.368608475,0.272301763,"https://doi.org/10.1038/s41558-018-0162-5"
"60","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.49,0.5,14.68075562,1.198745251,0.327802411,"https://doi.org/10.1038/s41558-018-0162-5"
"61","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.54,0.56,24.36773872,1.876513362,0.204948039,"https://doi.org/10.1038/s41558-018-0162-5"
"62","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.6,0.62,22.14080238,1.912966371,0.197101387,"https://doi.org/10.1038/s41558-018-0162-5"
"63","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.66,0.68,16.6830883,1.522619367,0.279854371,"https://doi.org/10.1038/s41558-018-0162-5"
"64","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.72,0.74,20.37203979,1.563254237,0.212419069,"https://doi.org/10.1038/s41558-018-0162-5"
"65","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.78,0.8,20.58384323,1.223223329,0.192263968,"https://doi.org/10.1038/s41558-018-0162-5"
"66","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.84,0.86,17.5667572,1.086116672,0.186358738,"https://doi.org/10.1038/s41558-018-0162-5"
"67","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.9,0.92,16.03087807,1.139689445,0.215324808,"https://doi.org/10.1038/s41558-018-0162-5"
"68","Weston","Weston et al 2023","Maine","8","Salt marsh",2014,43.74079,-69.80331,0.96,0.98,13.4195137,0.890428841,0.231775442,"https://doi.org/10.1038/s41558-018-0162-5"
"69","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0,0.01,5.928687572,0.528977931,0.469149287,"https://doi.org/10.1038/s41558-018-0162-5"
"70","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.01,0.02,7.263954163,0.56601876,0.417603318,"https://doi.org/10.1038/s41558-018-0162-5"
"71","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.02,0.03,7.270973682,0.606342196,0.337368885,"https://doi.org/10.1038/s41558-018-0162-5"
"72","Weston","Weston et al 2023","Massachussettes","1","Salt marsh",2014,42.73648,-70.84354,0.03,0.04,8.734044075,0.656007171,0.312641187,"https://doi.org/10.1038/s41558-018-0162-5"
